rank,priority_score,firm_name,frn,size_tier,adviser_count,total_reviews,top_rated_advisers,adviser_types,phone,postcode,website,cities_count,data_confidence,size_score,permission_score,distribution_score,top_mandate_category,top_mandate_score,fca_status,companies_house,fca_enriched,advises_retail,pension_transfers,manages_investments
270,35.4,Lilac Financial Limited,,tier_3,5,768,5,mortgage_limited|protection_limited,02035446810,,,5,0.38,39,50,8,multi_asset_cautious,20,,,False,,,
271,35.4,David James Wealth,771834,tier_3,3,272,3,fa_restricted|mortgage_adviser,+442070140186,WC1V 7JZ,www.davidjameswealth.com,2,0.88,31,50,30,multi_asset_cautious,25,Appointed representative,11557919,True,,,
272,35.4,Cross Border Financial Planning,,tier_3,4,132,3,ifa,03300388940,,,2,0.38,26,60,10,multi_asset_cautious,30,,,False,,,
273,35.4,MLP Wealth Management Ltd,,tier_3,3,408,3,ifa,02081668476,,,2,0.38,26,60,10,multi_asset_cautious,30,,,False,,,
274,35.4,Hartsfield,,tier_3,3,368,3,ifa,01172950022,,,2,0.38,26,60,10,multi_asset_cautious,30,,,False,,,
275,35.4,EWM,,tier_4,4,182,2,ifa,03300388940,,,3,0.38,24,60,18,multi_asset_cautious,30,,,False,,,
276,35.4,BlueSky Independent Wealth Managers Ltd,,tier_4,3,181,1,ifa,01312680099,,,3,0.38,24,60,18,multi_asset_cautious,30,,,False,,,
277,35.4,Finli (FA92) Ltd,,tier_4,3,171,1,fa_restricted|ifa,03300388940,,,3,0.38,24,60,18,multi_asset_cautious,30,,,False,,,
278,35.4,Strategic Solutions Chartered Financial Planners,,tier_4,3,206,1,ifa,03300388938,,,3,0.38,24,60,18,multi_asset_cautious,30,,,False,,,
279,35.3,Consilium Financial Services,809995,tier_4,3,77,1,ifa,+442071129220,HA2 7SA,,1,0.75,22,60,25,multi_asset_cautious,30,Appointed representative,10828385,True,,,
280,35.3,Deep Dive Financial Planning Ltd,991603,tier_4,1,108,1,ifa,+4402038824569,EC2A 2BX,,1,0.75,22,60,25,multi_asset_cautious,30,Appointed representative,14501403,True,,,
281,35.3,Voyage Financial Planning Limited,992319,tier_4,1,197,1,ifa,+4407725008590,SO51 9AQ,,1,0.75,22,60,25,multi_asset_cautious,30,Appointed representative,10889785,True,,,
282,35.3,Fairview Financial Management Ltd,976151,tier_4,1,214,1,ifa,+4401268944042,SS6 7EW,,1,0.75,22,60,25,multi_asset_cautious,30,Appointed representative,14057510,True,,,
283,35.2,McMillan Financial Advice Limited,,tier_3,6,506,6,fa_restricted,01273434285,,,4,0.38,36,50,8,multi_asset_cautious,25,,,False,,,
284,35.2,Wealth Spring Limited,999155,tier_4,1,38,1,ifa,+4407884178919,SE22 8HN,www.wealthspring.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,14265343,True,,,
285,35.2,Druthers Financial Planning Ltd,826831,tier_4,1,67,1,ifa,+447976650566,RH12 4QP,www.druthers.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,11614950,True,,,
286,35.2,True Financial Design Ltd,828514,tier_4,1,33,1,ifa,+441423297077,LS22 5DZ,www.truefinancialdesign.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,11595677,True,,,
287,35.2,RL Wealth Management Ltd,776926,tier_4,1,40,1,ifa,+4401277285484,CM12 0GD,www.rlwealth.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,10518916,True,,,
288,35.2,Charters Private Wealth,758255,tier_4,1,98,1,ifa,+4401789263888,CV37 9NR,www.charterswealth.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,10423155,True,,,
289,35.2,Reffiness Ltd,978458,tier_4,1,46,1,ifa,+441702431130,ST4 2LW,www.reffiness.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,14111791,True,,,
290,35.2,MGT Financial Planning Ltd,953054,tier_4,1,58,1,ifa,+4407961167733,M21 7QY,www.mgtfinancialplanning.co.uk,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,13377163,True,,,
291,35.2,Laurel North Limited,1048592,tier_4,1,21,1,ifa,+4407522281673,NE13 9DP,Laurelnorth.com,1,0.88,18,60,40,multi_asset_cautious,30,Appointed representative,16871024,True,,,
292,35.2,The Mortgage World,757120,tier_4,1,68,1,protection_whole_of_market,+4401675469080,B46 1AZ,www.themortgageworld.co.uk,1,0.88,13,70,30,multi_asset_cautious,30,Authorised,,True,True,True,False
293,35.0,Monenti Partners Ltd,,tier_3,5,70,5,ifa,02081668476,,,1,0.38,25,60,10,multi_asset_cautious,30,,,False,,,
294,35.0,Spectrum Wealth Group,,tier_3,3,617,2,ifa,01413760059,,,1,0.38,25,60,10,multi_asset_cautious,30,,,False,,,
295,34.9,tba Wealth Management,0203544,tier_4,2,229,1,ifa,02081668476,SM1 4LA,,1,0.62,21,60,25,multi_asset_cautious,30,,,True,,,
296,34.9,DBL Asset Management,328644,tier_4,2,238,2,ifa,01613000019,SK9 5EQ,,1,0.62,21,60,25,multi_asset_cautious,30,,,True,,,
297,34.9,Vista Financial Management Ltd,472845,tier_4,2,356,2,ifa|mortgage_adviser,+4401943871788,LS20 9JE,,1,0.62,21,60,25,multi_asset_cautious,30,Appointed representative,,True,,,
298,34.8,Clarence Place Wealth Management Ltd,,tier_3,6,286,3,fa_restricted,03300388940,,,5,0.38,35,50,8,multi_asset_cautious,25,,,False,,,
299,34.8,White House Mortgages Ltd,302190,tier_4,1,13,0,mortgage_adviser,+441375430431,RM17 5TX,www.whmltdifa.co.uk,1,1.0,12,70,30,multi_asset_cautious,30,Authorised,03300810,True,True,True,False
300,34.8,Property Link Homes Limited,429765,tier_4,1,17,0,mortgage_adviser,+4401765692331,HG4 1JY,www.propertylinkhomes.com,1,1.0,12,70,30,multi_asset_cautious,30,Authorised,05234968,True,True,True,False
301,34.6,Fort Veritas Wealth Ltd,986979,tier_3,3,62,3,fa_restricted|mortgage_adviser,+441684216231,GL20 6DA,www.fortveritas.co.uk,3,0.88,27,50,38,multi_asset_cautious,25,Appointed representative,14394840,True,,,
302,34.6,Fairstone Wealth Management Limited,,tier_4,4,261,1,ifa,02081668476,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
303,34.6,Storeton Rose Financial Planning Ltd,,tier_4,3,176,2,ifa|mortgage_adviser,01512219700,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
304,34.6,Strategic Solutions Financial Services,,tier_4,3,395,2,ifa,03300388938,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
305,34.6,The Cosgrove Partnership,,tier_4,2,277,2,ifa,03300388942,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
306,34.6,Bigmore Associates Ltd,,tier_4,2,215,2,ifa|mortgage_adviser,02035446810,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
307,34.6,Chester Financial Wealth Management Ltd (Chartered),,tier_4,2,165,2,ifa,03300388940,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
308,34.6,Old Royle Wealth Management Ltd,,tier_4,2,142,1,ifa,01613000019,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
309,34.6,Cheshire Wealth Partnership,,tier_4,2,250,1,ifa,03300388939,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
310,34.6,Philpott Financial Limited,,tier_4,2,262,2,ifa,03300388939,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
311,34.6,MAP Financial Planning Limited,,tier_4,2,286,2,ifa,03300388941,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
312,34.6,Acumen Financial Partnership Ltd,,tier_4,2,206,1,ifa,01513537186,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
313,34.6,Gilliland Neilson Brown,,tier_4,2,179,1,ifa,01312680099,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
314,34.6,HCI Chartered Financial Planners,,tier_4,2,315,2,ifa,03300388942,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
315,34.6,Lifetime IFA,,tier_4,2,132,1,ifa,03300388942,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
316,34.6,CMIS IFA Ltd,,tier_4,2,103,1,ifa,03300388938,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
317,34.6,Golden Oak Wealth Management,,tier_4,2,105,1,ifa,01223269681,,,2,0.38,24,60,10,multi_asset_cautious,30,,,False,,,
318,34.6,Invicta Financial Planning,,tier_4,4,86,3,ifa,02081667217,,,4,0.38,22,60,18,multi_asset_cautious,30,,,False,,,
319,34.6,Evolution Financial Services,,tier_4,3,161,0,ifa,02081668476,,,3,0.38,22,60,18,multi_asset_cautious,30,,,False,,,
320,34.5,Safehands IFA,563682,tier_4,1,166,0,ifa,+442031164000,GL50 3DU,,1,0.75,20,60,25,multi_asset_cautious,30,No longer authorised,07182140,True,,,
321,34.4,Create Wealth Management Ltd,722497,tier_4,1,41,0,ifa,+441224264949,AB12 4XX,www.createfs.com,1,0.88,16,60,40,multi_asset_cautious,30,Appointed representative,SC274209,True,,,
322,34.4,JBM Wealth Management Ltd,823110,tier_4,1,93,0,ifa,+4401395883920,EX8 1RS,www.jbmwealth.co.uk,1,0.88,16,60,40,multi_asset_cautious,30,Appointed representative,11534763,True,,,
323,34.4,Aristotle Financial Planning,922089,tier_4,1,28,0,ifa,+4407816332903,DE22 1DS,www.aristotlefinancialplanning.co.uk,1,0.88,16,60,40,multi_asset_cautious,30,Appointed representative,10916254,True,,,
324,34.4,Aspirations Financial Planning,668764,tier_4,1,59,0,ifa,+441454501959,BS32 8BS,www.aspirationsfp.co.uk,1,0.88,16,60,40,multi_asset_cautious,30,No longer authorised,08252963,True,,,
325,34.4,Opal Financial Management Limited,602945,tier_4,1,56,0,ifa,+4401258821529,DT10 1HT,opalfinancialmanagement.co.uk,1,0.88,16,60,40,multi_asset_cautious,30,Appointed representative,08544727,True,,,
326,34.4,Lifetime Financial Solutions,400358,tier_4,1,70,0,ifa,+441727848412,AL1 3UR,www.lifetime.co.uk,1,0.88,16,60,40,multi_asset_cautious,30,Appointed representative,04631136,True,,,
327,34.2,Ginkgo Financial Ltd.,912144,tier_3,3,354,3,fa_restricted,+442070788683,SE3 8XA,https://www.ginkgofinancial.com/,1,0.88,28,50,30,multi_asset_cautious,25,Appointed representative,08220047,True,,,
328,34.2,Lawton Financial Services,497129,tier_3,3,455,3,fa_restricted|mortgage_adviser,+441322553493,DA5 1LR,www.lawtonfinancial.co.uk,1,0.88,28,50,30,multi_asset_cautious,25,Appointed representative,07835127,True,,,
329,34.2,Waterhouse Financial Advisers Limited,190712,tier_3,3,173,3,fa_restricted,+441761415010,BA3 2DR,www.waterhousefa.co.uk,1,0.88,28,50,30,multi_asset_cautious,25,Appointed representative,09469734,True,,,
330,34.2,Advance Wealth Limited,,tier_4,4,380,4,ifa,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
331,34.2,Bank House Financial Planning,,tier_4,4,230,4,ifa,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
332,34.2,Cheltenham Independent Financial Advisers Ltd,,tier_4,4,481,4,ifa,03300388938,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
333,34.2,Park Hall Financial Services Ltd,,tier_4,4,129,4,ifa|mortgage_adviser,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
334,34.2,Russell Gibson Financial Management Limited,,tier_4,4,329,4,ifa,01224228770,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
335,34.2,Wardour Financial Planners Ltd,,tier_4,3,309,3,ifa,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
336,34.2,HarperLees Financial Planning,,tier_4,3,302,3,ifa,03300388938,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
337,34.2,Croft & Oakes Chartered Financial Planners,,tier_4,3,234,3,ifa,03300388938,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
338,34.2,Enriched Financial Services,,tier_4,3,170,3,ifa,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
339,34.2,Wealth of Advice,,tier_4,3,367,3,ifa,03300388938,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
340,34.2,Phoenix Wealth Solutions Limited,,tier_4,3,111,3,ifa,03300388939,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
341,34.2,Libertas Financial Management Ltd,,tier_4,3,111,3,ifa,03300388940,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
342,34.2,Romilly Financial,,tier_4,3,366,3,ifa,02922279218,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
343,34.2,Kernow Financial Planning,,tier_4,3,301,3,ifa|mortgage_adviser,03300388938,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
344,34.2,Welsh & Taylor Wealth,,tier_4,3,354,3,ifa,01224228120,,,1,0.38,23,60,10,multi_asset_cautious,30,,,False,,,
345,34.0,Jones Regan Financial Planning,,tier_3,8,112,2,fa_restricted,03300388942,,,6,0.38,33,50,8,multi_asset_cautious,25,,,False,,,
346,33.8,Octopus Money,,tier_3,6,263,4,financial_coach,02081668476,,,5,0.38,35,50,8,multi_asset_cautious,20,,,False,,,
347,33.8,Skybound Wealth UK,,tier_4,4,61,3,ifa,02081668476,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
348,33.8,Cotswold Independent Financial Services Limited,,tier_4,3,95,3,ifa,03300388942,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
349,33.8,Blacktower Financial Management,,tier_4,2,131,0,ifa,03300388939,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
350,33.8,Amber River SFIA,,tier_4,2,126,0,ifa,03300388939,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
351,33.8,Yellow Bear Financial Consultancy,,tier_4,2,111,0,ifa,03300388938,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
352,33.8,Sterling Welsh Ltd,,tier_4,2,207,0,ifa|mortgage_adviser,03300388938,,,2,0.38,22,60,10,multi_asset_cautious,30,,,False,,,
353,33.7,Journey,926480,tier_4,1,60,1,ifa,+4407854457039,TW9 2LP,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,12580064,True,,,
354,33.7,Wholesome Financial Planning Limited,995296,tier_4,1,60,1,ifa,+4401183151712,RG1 3LS,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,14702409,True,,,
355,33.7,BW Financial Planning (FCA No. 618213),618213,tier_4,1,72,1,ifa,+4407879384599,AL1 4AA,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,07192335,True,,,
356,33.7,White Stone Financial Planning Ltd,991595,tier_4,1,39,1,ifa,+4407590394473,B79 7DN,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,14518301,True,,,
357,33.7,Velocity Financial Planning Ltd,940298,tier_4,1,35,1,ifa,+4407850938813,CV34 6RG,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,13013861,True,,,
358,33.7,Seven Financial Group,972250,tier_4,1,22,1,ifa,+441923601405,WD3 1AY,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,13863957,True,,,
359,33.7,Probert Financial Ltd,940827,tier_4,1,58,1,ifa,+4407914792378,EX13 5RJ,,1,0.75,18,60,25,multi_asset_cautious,30,Appointed representative,12500388,True,,,
360,33.6,Macfarlane Wealth Partners,,tier_3,9,175,5,fa_restricted,03300388942,,,3,0.38,32,50,8,multi_asset_cautious,25,,,False,,,
361,33.6,Fortura Financial Partners Ltd,,tier_3,9,468,4,fa_restricted|protection_limited,02035510160,,,4,0.38,32,50,8,multi_asset_cautious,25,,,False,,,
362,33.6,Peter Harding Wealth Management,,tier_3,6,296,4,fa_restricted,01823429141,,,4,0.38,32,50,8,multi_asset_cautious,25,,,False,,,
363,33.6,Retirement Solutions (UK) Ltd,,tier_3,5,376,5,fa_restricted|mortgage_adviser,03300388940,,,4,0.38,32,50,8,multi_asset_cautious,25,,,False,,,
364,33.6,Thorntons Wealth Management,,tier_3,5,169,5,fa_restricted,01312680409,,,3,0.38,32,50,8,multi_asset_cautious,25,,,False,,,
365,33.6,Principle Financial Planning Limited,804455,tier_4,1,13,1,ifa,+441704828120,PR8 1LQ,https://principledfp.com/,1,0.88,14,60,40,multi_asset_cautious,30,Appointed representative,11207310,True,,,
366,33.4,Virtus Financial Planning Limited,1011353,tier_3,4,294,2,fa_restricted|mortgage_limited,+447853549163,SO52 9JT,https://www.virtuswealth.co.uk/,1,0.88,26,50,30,multi_asset_cautious,25,Appointed representative,15361872,True,,,
367,33.4,Four Oaks Financial Services Ltd,616095,tier_3,3,279,2,fa_restricted|mortgage_limited,+4401213232070,WS14 0NX,www.fouroaksfs.com,1,0.88,26,50,30,multi_asset_cautious,25,Appointed representative,04814506,True,,,
368,33.4,Kind Wealth Limited,604355,tier_3,2,124,2,fa_restricted|mortgage_adviser,+441212330611,WR1 1DJ,www.kindwealth.com,1,0.88,26,50,30,multi_asset_cautious,25,Appointed representative,08431437,True,,,
369,33.4,Woodwards of Ripley Ltd,612879,tier_3,2,120,2,fa_restricted,+441773744888,DE5 3DJ,https://woodwardsfs.co.uk,1,0.88,26,50,30,multi_asset_cautious,25,Appointed representative,03742591,True,,,
370,33.4,Jones & Co Independent Financial Advice,,tier_4,4,414,1,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
371,33.4,Blackdown Financial,,tier_4,4,432,2,ifa|mortgage_adviser,01823429141,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
372,33.4,Navigate IFA,,tier_4,4,242,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
373,33.4,First Sentinel Wealth,,tier_4,3,169,1,ifa,02035446810,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
374,33.4,Wealth and Tax Management Ltd,,tier_4,3,334,1,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
375,33.4,Jane Newman Financial Planning Ltd,,tier_4,3,456,2,ifa|mortgage_adviser,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
376,33.4,Beaufort Wealth Management Ltd,,tier_4,3,174,2,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
377,33.4,Denham & Burd Wealth Management,,tier_4,3,294,2,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
378,33.4,NTM Financial Services Ltd,,tier_4,3,241,2,ifa,02922279219,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
379,33.4,Waymark Financial Limited,,tier_4,2,263,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
380,33.4,Bloom Financial Consulting Limited,,tier_4,2,108,2,ifa,02081667217,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
381,33.4,Expert Wealth Management,,tier_4,2,172,2,ifa,03300388939,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
382,33.4,The Orchard Practice,,tier_4,2,161,2,ifa,03300388941,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
383,33.4,3D Financial Planning,,tier_4,2,176,2,ifa,03300388939,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
384,33.4,Logic Financial Services Ltd.,,tier_4,2,110,1,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
385,33.4,DGS Chartered Financial Planners,,tier_4,2,146,2,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
386,33.4,JPA Financial Services LTD,,tier_4,2,269,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
387,33.4,Chartwell Financial Services,,tier_4,2,133,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
388,33.4,Elmfield Financial Planning Ltd,,tier_4,2,115,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
389,33.4,Bedford Wealth Ltd,,tier_4,2,200,2,ifa,03300388941,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
390,33.4,Adcas Financial Management Ltd,,tier_4,2,287,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
391,33.4,Edward Asset Management LLP,,tier_4,2,122,2,ifa,01512219700,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
392,33.4,TheWealthPoint,,tier_4,2,168,2,ifa,01512219238,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
393,33.4,Cove Financial Planning,,tier_4,2,121,2,ifa,01132385300,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
394,33.4,Financial Succession Ltd,,tier_4,2,153,1,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
395,33.4,Roxburgh Financial Services,,tier_4,2,282,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
396,33.4,Lifeplan Financial Management Ltd,,tier_4,2,360,1,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
397,33.4,Vital Financial Planning,,tier_4,2,293,2,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
398,33.4,Beesure Ltd,,tier_4,2,204,1,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
399,33.4,Chris Bibb Independent Financial Advice,,tier_4,2,132,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
400,33.4,Diligent Wealth Planning Ltd,,tier_4,2,256,1,ifa,02920538857,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
401,33.4,Amethyst Independent Financial Advisers LLP,,tier_4,2,170,1,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
402,33.4,Modulus Financial Planning,,tier_4,2,124,2,ifa,03300388938,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
403,33.4,Stonegate Wealth Management,,tier_4,2,271,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
404,33.4,Cornwall Finance & Investment Services Ltd,,tier_4,2,134,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
405,33.4,F H. Manning Financial Services Limited,,tier_4,2,270,2,ifa,03300388939,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
406,33.4,Attain Wealth Management Limited,,tier_4,2,240,2,ifa,03300388940,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
407,33.4,57 North Financial Planning,,tier_4,2,116,2,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
408,33.4,Border Finance Limited,,tier_4,1,1910,1,ifa,03300388942,,,1,0.38,21,60,10,multi_asset_cautious,30,,,False,,,
409,33.3,Fyfe Financial,0114287,tier_4,2,50,2,ifa,01142870193,S11 9PJ,,1,0.62,17,60,25,multi_asset_cautious,30,,,True,,,
410,33.2,Exhale Financial Planning Limited,1033397,tier_4,1,82,1,ifa,+4401743623410,SY1 1UW,www.exhalefinancialplanning.co.uk,1,0.75,13,60,40,multi_asset_cautious,30,Appointed representative,,True,,,
411,33.0,Lifetime Wealth Management Limited,400358,tier_4,3,73,0,fa_restricted,+441727848412,AL1 3UR,www.lifetime.co.uk,3,0.88,23,50,38,multi_asset_cautious,25,Appointed representative,04631136,True,,,
412,33.0,Julian Harris Financial Consultants,,tier_4,3,69,2,ifa|mortgage_adviser,02081668476,,,2,0.38,20,60,10,multi_asset_cautious,30,,,False,,,
413,33.0,Xentum,,tier_4,3,77,1,ifa,03300388942,,,2,0.38,20,60,10,multi_asset_cautious,30,,,False,,,
414,33.0,NewRoad Financial Planning,,tier_4,2,91,2,ifa,02081668476,,,2,0.38,20,60,10,multi_asset_cautious,30,,,False,,,
415,33.0,Retirement Professionals Ltd,,tier_4,2,96,1,ifa,03300388938,,,2,0.38,20,60,10,multi_asset_cautious,30,,,False,,,
416,32.9,Spolton Mortgages,993383,tier_3,4,433,3,mortgage_adviser|mortgage_limited,+4401529300500,NG34 7TW,,2,0.75,31,50,15,multi_asset_cautious,20,Appointed representative,10903440,True,,,
417,32.9,Evolution Financial Planning Ltd,593368,tier_4,1,45,0,ifa,+4403303322612,ME5 9FD,,1,0.75,16,60,25,multi_asset_cautious,30,Appointed representative,08117933,True,,,
418,32.9,Pentagon Wealth,846206,tier_4,1,57,0,ifa,+4402070822385,N14 6BN,,1,0.75,16,60,25,multi_asset_cautious,30,Appointed representative,12057871,True,,,
419,32.9,Atticus Financial Planning Ltd,943598,tier_4,1,26,0,ifa,+4407975542098,GU34 5TG,,1,0.75,16,60,25,multi_asset_cautious,30,Appointed representative,12825620,True,,,
420,32.9,Profectus Financial Planning Limited,1027599,tier_4,1,68,0,ifa,+4407908764459,M33 2SP,,1,0.75,16,60,25,multi_asset_cautious,30,Appointed representative,16114972,True,,,
421,32.8,Frizzell Wealth Management Ltd,,tier_3,9,238,8,fa_restricted,03300388938,,,2,0.38,32,50,0,multi_asset_cautious,25,,,False,,,
422,32.8,IQ&Co Ltd,,tier_3,7,376,5,fa_restricted,03300388940,,,2,0.38,32,50,0,multi_asset_cautious,25,,,False,,,
423,32.8,Ballantine Wealth Management Ltd,,tier_3,5,358,5,fa_restricted,03300388940,,,2,0.38,32,50,0,multi_asset_cautious,25,,,False,,,
424,32.8,Langford Turnbull,928002,tier_4,1,13,0,ifa,+4407402702789,HD1 1PA,gregturnbull.2plan.com,1,0.88,12,60,40,multi_asset_cautious,30,Appointed representative,07611139,True,,,
425,32.8,The Minster Partnership,193484,tier_4,1,3,0,ifa,+441513285678,CH66 7NZ,www.chesterpartnership.co.uk,1,0.88,12,60,40,multi_asset_cautious,30,Appointed representative,03792973,True,,,
426,32.6,Lomond Wealth,,tier_4,4,87,3,ifa,03300388940,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
427,32.6,Bespoke Independent Financial Advisers Limited,,tier_4,4,86,3,ifa,03300388938,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
428,32.6,Ifamax Wealth Management,,tier_4,3,55,3,ifa,01172950022,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
429,32.6,Independent Financial Advice Centre,,tier_4,3,94,3,ifa,03300388938,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
430,32.6,Clockswood Wealth Management Limited,,tier_4,2,246,0,ifa,02035510160,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
431,32.6,JW Financial Services Ltd,,tier_4,2,260,0,ifa,03300388939,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
432,32.6,Gem & Co Financial Services Ltd,,tier_4,2,194,0,ifa,02035510160,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
433,32.6,Best Financial Planning Ltd,,tier_4,2,102,0,ifa|mortgage_adviser,03300388941,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
434,32.6,AFH Wealth Management Nantwich,,tier_4,2,134,0,ifa,03300388940,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
435,32.6,Questa Chartered,,tier_4,2,126,0,ifa,03300388942,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
436,32.6,Aqua Financial Limited,,tier_4,2,125,0,ifa,03300388938,,,1,0.38,19,60,10,multi_asset_cautious,30,,,False,,,
